Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
Localidad 1,120,100,109561,-75.04,6.87,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 1,340,70,102162,-75.04,6.87,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 15,1930,100,112164,-75.04,6.87,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 32,670,90,112171,-75.14,6.95,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 37,1030,80,114826,-75.18,6.86,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 38,400,70,112167,-75.05,6.89,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 4,180,60,112163,-75.04,6.87,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 47,790,110,112172,-75.18,6.87,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 69,660,110,112173,-75.14,6.96,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 76,960,90,112168,-75.01,6.87,Reported,,"Ardila Calderón, G. I. (1998). Prospeccion arqueologica del valle del Riachon noreste de Antioquia: informe final. Universidad de Antioquia.",yes,,
Localidad 78,880,50,112174,-75.18,6.92,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Localidad 84,640,50,112175,-75.17,6.91,Reported,,Empresas Publicas de Medellin. (2002). Proyecto hidroelectrico Porce III: estudio de impacto ambiental. Vol 12.  EPM.,yes,,
Loma de Lopez,945,100,M-1312,-74.333333,10.8,Reported,Shell,"Angulo V., C. (1978). Arqueologia de la Cienaga Grande de Santa Marta. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la República.",yes,,
Loma de Lopez,905,100,M-1311,-74.333333,10.8,Reported,Shell,"Crane, H. R., & Griffin, J. B. (1964). University of Michigan radiocarbon dates IX. Radiocarbon, 6, 1-24.",yes,,
Loma de Lopez,945,100,M-1310,-74.333333,10.8,Reported,Shell,"Angulo Valdes, C. (1978). Arqueologia de la Cienaga Grande de Santa Marta. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Loma de los Ochoa 1,1710,50,Beta-127747,-75.46,6.39,Reported,,GAIA. (1999). Desarrollo vial del Aburra Norte: prospeccion arqueologica. Informe.,yes,,
Loma de los Ochoa 2,680,50,Beta-127746,-75.46,6.39,Reported,,GAIA. (1999). Desarrollo vial del Aburra Norte: prospeccion arqueologica. Informe.,yes,,
Loma de Segovia,2460,55,A-8884,-76.033695,2.573944,Estimated,,"Cuellar, A., Dever, A., Giraldo, S., Langebaeck, C., Blick, J., & Zarur F. (1998). Arqueologia de Tierradentro: Procesos de cambio social del 1.000 a.C. al presente en una region de Colombia. Universidad de Los Andes.",yes,,
Loma de Segovia,2430,55,A-8885,-76.033695,2.573944,Estimated,,"Cuellar, A., Dever, A., Giraldo, S., Langebaeck, C., Blick, J., & Zarur F. (1998). Arqueologia de Tierradentro: Procesos de cambio social del 1.000 a.C. al presente en una region de Colombia. Universidad de Los Andes.",yes,,
Loma de Segovia,2420,55,A-8886,-76.033695,2.573944,Estimated,,"Cuellar, A., Dever, A., Giraldo, S., Langebaeck, C., Blick, J., & Zarur F. (1998). Arqueologia de Tierradentro: Procesos de cambio social del 1.000 a.C. al presente en una region de Colombia. Universidad de Los Andes.",yes,,
Loma del Colegio,460,80,Beta-12071,-73.81,6.23,Reported,Charred wood,"Lleras Perez, R. (1986). Un conjunto orfebre asociado a ceramica Guane. Revista Colombiana de Antropologia, 26, 43-82. https://doi.org/10.22380/2539472X.1573",yes,,
Parte del Tesoro de los Quimbayas,1690,,Beta-175663,,,,,Uribe 2004,no,,
Loreto Yacu,760,90,I-5774,-70.5,-3.74,Reported,Charcoal,"Bolian, C. E. (1972). An archaeological survey of the trapecio of Amazonas Colombia. University of New Hampshire,",yes,,
Los Arrayanes,6520,90,Beta-104559,-75.523946,4.95975,Reported,Charcoal,"Rodriguez Ramirez, C. (1997). Rescate arqueologico sitios Los Arrayanes Pk 91+150 Villamaria-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final. ECOPETROL.",yes,,
Los Asientos 1,2000,70,Beta-112564,-75.36,5.77,Reported,Charcoal,"Munera Bermudez, L. C., Botero Arcila, S. H., Cadavid Giraldo, S., Munoz Zea, D. P., & Ospina, A. G. (1997). Gasoducto de distribucion en el Valle del Aburra.",yes,,
Los Asientos 5,1750,120,Beta-112566,-75.36,5.77,Reported,Charcoal,"Munera Bermudez, L. C., Botero Arcila, S. H., Cadavid Giraldo, S., Munoz Zea, D. P., & Ospina, A. G. (1997). Gasoducto de distribucion en el Valle del Aburra.",yes,,
Los Eucaliptos,825,125,GX-19705,-77.45,1.2,Reported,,"Fernandez Medina, E. (1994). Distribucion espacial y temporal de la ceramica en el area Quillacinga. [Unpublished undergraduate thesis, Universidad de los Andes].",yes,,
Pikotsutsikchk (Guambia),2080,60,Beta-unknown2,-76.27868679,2.625395627,Estimated,Charcoal,"Urdaneta, M. (1991). Huellas de pisha u en el resguardo de guambia: ensayando caminos para su estudio. Boletín Museo del Oro, 31, 3-29.",yes,,
Los Guayabos - Unidad Arqueológica 09 - Terraza 05,4690,40,Beta-294237,-75.58,6.2,Reported,Charcoal,"Aristizabal Espinosa, P. (2011). Programa de arqueologia preventiva Puente Calle 4 Sur. Ejecucion del Plan de Manejo Arqueologico Rescate y Monitoreo Arqueologico. Informe final.",yes,,
Los Guayabos - Unidad Arqueológica 09 - Terraza 05,810,30,Beta-297661,-75.58,6.2,Reported,Sediment,"Aristizabal Espinosa, P. (2011). Programa de arqueologia preventiva Puente Calle 4 Sur. Ejecucion del Plan de Manejo Arqueologico Rescate y Monitoreo Arqueologico. Informe final.",yes,,
Los Jagüeyes,1615,100,IAN-90,-74.37,10.97,Reported,,"Angulo Valdes, C. (1978). Arqueologia de la Cienaga Grande de Santa Marta. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Los López 6,1640,40,Beta-112567,-75.39,5.75,Reported,,"Munera Bermudez, L. C., Monsalve, O. D., Botero, S. H., Ospina, A. G., Agudelo, . M., & Cadavid, S. (1998). Proyecto hidroelectrico ri­o Aures: prospeccion arqueologica informe final.  Integral.",yes,,
Los Pinos,2400,30,Beta-355340,-76.44245714,2.388850856,Estimated,Charcoal,"Patiño, D., & Monsalve, M. L. (2015). Arqueologia y vulcanismo en la region del Purace, Cauca. Servicio Geologico Colombiano y Editorial Juniversidad del Cauca.",yes,,
Alto de Lavapatas,2505,50,GrN-3016,-76.3,1.89,Reported,Wood,"Duque Gomez, L., & Cubillos, J. C. (1988) Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Los Santos,765,85,IVIC-159,,,,Charcoal,"Sutherland, D. (1972). Preliminary investigations into the prehistory of Santander, Colombia. [Doctoral thesis, Tulane University].",yes,,
Mesita B,770,120,GrN-3447,-76.3,1.89,Reported,,"Duque Gomez, L. (1964). Exploraciones arqueologicas en San Agustin. Revista Colombiana de Antropologia. Suplemento 1, 277-309. Instituto Colombiano de Antropologia.",yes,,
Mesita B,1920,50,GrN-3643,-76.3,1.89,Reported,Charcoal,"Duque Gomez, L., & Cubillos, J. C. (1988) Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Mesita B,1930,50,GrN-3646,-76.3,1.89,Reported,,"Reichel-Dolmatoff, G. (1972). San Agustín: a Culture of Colombia. Prager. New York",yes,,
Potrero lavapatas,770,120,GrN-3647,,,,,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
Lote Bicentenario. Casa Sánchez,110,30,Beta-493048,-76.6,2.44,Reported,,"Hernandez Sanchez, M. C. (2019). Excavaciones y monitoreo arqueologico en el lote bicentenario Universidad del Cauca. Aplicacion del plan de manejo arqueologico. Informe final.",yes,,
Lote Bicentenario. Casa Sánchez,100,30,Beta-493049,-76.6,2.44,Reported,,"Hernandez Sanchez, M. C. (2019). Excavaciones y monitoreo arqueologico en el lote bicentenario Universidad del Cauca. Aplicacion del plan de manejo arqueologico. Informe final.",yes,,
LT Bacatá – Nueva Esperanza T089N,2280,30,Beta-480,-74.33,4.69,Reported,,"Rivas Estrada, S. (2020). Plan de Manejo Arqueologico para construccion y contaje en la linea de Transmision Electrica Bacata - Nueva Esperanza 500 kV. Informe final.",yes,,
Lucerna,330,60,Beta-102874,,,,,"Salgado Lopez, H. (1997). Rescate arqueologico de los municipios de Montenegro, (Quindio) y Bugalagrande, (Valle del Cauca): informe final. Ecopetrol.",yes,,
Lucerna,630,150,Beta-102872,,,,,"Salgado Lopez, H. (1997). Rescate arqueologico de los municipios de Montenegro, (Quindio) y Bugalagrande, (Valle del Cauca): informe final. Ecopetrol.",yes,,
Chisacá (Cundinamarca),840,60,GrN-4004,-74.174612,4.383325,Estimated,,"Plazas, C. (1998). Cronologia de la metalurgia colombiana. Boletin Museo del Oro, (44-45), 3-77. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/6894",yes,,
