year_BP,enso_pca
763.5,-0.141884
765,-2.36177
766,-2.693966
767,-0.307505
768,3.124579
769,3.200299
770,2.950473
771,2.623711
772,0.246901
774,-1.808243
775,-0.985204
776,1.302803
777,3.060962
778,3.396836
779,3.142628
780.5,1.839527
781,0.183739
782,0.821909
783,2.633242
784,1.13466
785,1.449108
785,1.79228
786,1.365472
787,2.607801
788,2.595963
789,-0.742529
791,-0.126592
792,3.131295
793,3.424952
794,0.112325
795,-1.803917
796,-0.898636
797.5,-0.173495
798,0.309668
800,2.360888
800,3.318867
801,2.430415
802,-1.400538
803,-3.389626
804,-3.128958
804.5,-1.981614
806,-1.71945
807,-1.610573
808,0.406615
810,2.838088
812,2.823731
813,1.23452
813,-1.146066
815,0.118109
816,1.377892
818,-1.235567
818.5,1.755371
819,-1.263863
820,0.123805
821,-0.701282
822.5,-2.828824
824,-2.5784
825,-1.980274
825,-1.311329
827,-1.180701
828,0.081514
830,0.95578
831,2.122567
832,2.012137
833,2.356571
834,2.379341
835,0.684674
835.5,-1.909433
837,-2.220915
838,-1.173474
840,0.927657
841,1.173235
842,-0.545646
843,-0.970796
844,0.93255
845,-0.354545
847,-0.057695
848,0.576933
849,-0.905949
850,-1.990722
851,-0.962359
852,0.493581
853.5,0.703936
855,1.904508
856,0.942526
857,1.454674
858,1.909521
860,1.846226
862,0.60268
863,-0.820117
864,-2.844435
866,-3.033953
867,-1.834191
868,-0.325824
870,-0.117822
872,0.957058
873,1.78732
875,-0.421006
876,-2.849201
878,-3.107042
879,-2.594078
881,-0.565034
884,-1.129635
885.5,-1.882876
886,-1.458612
888,1.28883
889,0.652766
890,0.932542
892,1.050191
892,-1.075423
894,-2.508513
895,-2.21682
896,-1.380058
897.5,-1.109854
899,-1.8099
900,-1.967838
901.5,-1.073569
902.5,-1.009117
903,-1.814989
905,-3.534391
906,-3.797415
907,-2.824566
909,-2.951363
909.5,-2.731208
910.5,-1.370266
911,-1.754138
912,-2.15384
913,-3.639858
915,-3.48071
916,-3.826383
916,-4.105592
917,-3.253679
919,-2.507719
920,-3.496495
921,-4.299569
922,-3.696794
923.5,-3.318286
924,-2.895844
925,-2.972786
925.5,-2.233681
927,-2.067938
929,-2.441902
930,-1.977643
931,-0.878009
932,-1.057259
933,-1.7103
934,-1.392039
935,-0.364788
936,0.605447
938,0.599762
939,0.190568
940,-0.603134
941,-2.954139
943,-2.976814
943,-2.8323
944,-3.113033
945,-2.605933
946,-2.115557
947,-2.290061
948.5,-2.454559
950,-2.850434
951,-2.009181
952,-1.802506
953,-1.033102
954,-1.67395
955,-2.201464
957,-2.470902
957,-0.754495
959,0.514972
959,-1.879407
961,0.137627
962,2.319513
963,0.880657
965.5,1.555306
966.5,2.685536
968,-3.136248
968.5,-4.298838
969,-4.085906
970,-3.569001
971.5,-3.338597
973,-2.245611
974.5,-2.813875
975.5,-3.039908
977,-3.278202
978.5,-3.598674
979,-3.681986
982,-3.154631
984,-2.800522
985,-2.663469
987,-2.645315
987,-2.410166
988,-2.231222
989,-1.755024
990,-2.319391
991,-3.580784
992.5,-4.430016
994,-4.005486
995,-3.749892
996,-4.069854
997,-3.682548
998,-3.431939
1000,-3.419104
1001,-3.499648
1002,-3.137639
1003,-3.333388
1004,-4.384213
1005,-4.301395
1006,-3.368729
1007,-2.514261
1008,-1.688052
1009,-1.034722
1009,-1.792611
1010.5,-3.709917
1011,-4.790655
1013,-5.014293
1015,-4.83559
1016,-4.518068
1017,-4.475473
1019,-4.518051
1020,-4.077066
1022,-3.534412
1022,-3.038973
1024,-3.097854
1025,-3.542223
1026,-4.137632
1027,-4.122181
1027,-3.692412
1028,-3.373271
1029,-2.994917
1031,-3.434615
1032,-4.141934
1033,-4.777281
1035,-4.707807
1036,-3.800892
1038,-3.195475
1039,-3.477973
1041,-4.041524
1042.5,-3.983262
1044,-3.355149
1046,-3.545432
1047,-3.926844
1048.5,-3.50173
1051,-2.921324
1052,-3.007732
1055,-3.839028
1056.5,-4.109361
1058,-4.348308
1060,-4.138999
1061.5,-3.206458
1064,-3.081296
1066,-2.114295
1067,-2.681273
1070,-1.743187
1071,-0.974932
1072,-1.344082
1073,-3.090476
1074,-2.782512
1076,-3.763116
1078,-4.664692
1080,-4.383918
1081,-4.080289
1082,-3.757627
1083,-3.47102
1085,-3.914401
1086.5,-3.538758
1089,-2.770714
1090,-2.525716
1091,-3.350808
1092,-2.78742
1093,-1.570105
1094,-1.814976
1095,-2.479258
1096,-3.422586
1097,-3.700587
1099,-3.764263
1100,-3.93509
1102,-3.998994
1103,-3.600073
1104,-3.214151
1105,-2.624506
1106,-2.291554
1107,-2.806689
1108.5,-3.387702
1110,-3.680781
1111,-3.010144
1113,-1.723672
1114,-0.968951
1115,-2.578062
1117.5,-3.30706
1119,-3.570816
1120,-4.57087
1122,-4.935006
1123.5,-3.705643
1124.5,-3.62524
1126,-4.242261
1127,-3.502176
1128,-4.125613
1129,-3.714074
1130,-2.613573
1131,-2.332159
1132,-2.470276
1134,-2.510145
1136,-2.435918
1137,-2.146456
1138,-2.742152
1139.5,-2.745788
1141.5,-1.709994
1142.5,-1.236565
1144,-2.087295
1145.5,-2.167995
1147,-1.230066
1148.5,-0.821773
1150,-2.262308
1151,-2.848958
1152,-2.715789
1153,-3.400892
1154.5,-2.728786
1156.5,-2.202395
1158,-3.170216
1160,-4.078746
1161,-4.351438
1162,-4.166949
1164,-3.752143
1165,-1.963254
1166,-2.528805
1168,-1.662308
1170,-1.979737
1171,-2.9952
1171,-3.570914
1173,-4.123515
1173.5,-2.654004
1175,-1.626434
1176,-1.043549
1178,-1.036797
1180,0.29171
1181,1.864817
1182,1.711096
1183,0.161883
1185,0.253942
1186,2.559286
1187,1.989053
1189,-4.129455
1190,-2.880463
1192,-1.349257
1193,-0.948086
1194,-0.535733
1195,-0.94303
1196,-0.552912
1198,-1.400445
1199,-1.135056
1200,-0.678968
1202,0.199547
1203.5,-0.354632
1205,-1.905778
1207,-1.910523
1208,-1.750814
1209.5,-0.145181
1211,1.173482
1212,0.18679
1213,0.540599
1214.5,1.922142
1216,1.438477
1217,0.018302
1218,-0.548753
1220,-0.642257
1221.5,-0.724164
1223,-0.295826
1224,0.264834
1226,0.343075
1227,0.552644
1229,1.534949
1231,2.492408
1232.5,2.854492
1233,1.91494
1235,2.818551
1235,2.843835
1237,2.639535
1238,1.30095
1240,-0.083253
1241.5,-0.766846
1242.5,-0.44159
1244,0.405285
1245,1.402736
1247.5,1.49814
1248,-1.919365
1249.5,-2.409477
1251.5,0.328561
1252.5,-1.752465
1254,-2.096634
1254.5,-1.221008
1256,0.421846
1257,1.72918
1259,-0.497425
1260,-1.559085
1260,0.225422
1261,1.950905
1262,-0.358507
1263,-0.023476
1264,-0.141692
1265.5,0.881588
1267,2.145869
1268,2.839066
1269,2.515302
1270,-1.569635
1271,-4.143078
1272,-4.047363
1274,-2.724087
1275,-1.954818
